Data Type,Variables,Available Period,Specifications,Other Information
Observed data,"Minimum temperature, Maximum temperature, Rainfalls",1948-January to 2016-December,Available for 39 Weather Stations,None
Gridded data,"Minimum temperature, Maximum temperature, Rainfalls",1975-January to 2015-December,Spatial Resolution: 25kmx25km,None
Projected - raw data,"Minimum temperature, Maximum temperature, Mean temperature, Rainfalls",1975-January to 2100-December,Spatial Resolution: 25kmx25km,"GCM: ACCESS1-0, CSIRO-Mk3-6-0, MIROC-ESM, BCC-CSM1-1, GFDL-CM3, MIROC-ESM-CHEM, BNU-ESM, GFDL-ESM2G, MIROC5, CanESM2, GFDL-ESM2M, MPI-ESM-LR, CCSM4, INMCM4, MPI-ESM-MR, CESM1-BGC, IPSL-CM5A-LR, MRI-CGCM3, CNRM-CM5, IPSL-CM5A-MR, NorESM1-M models. RCP 4.5 and RCP 8.5 scenarios"
Projected - biased,"Minimum temperature, Maximum temperature, Rainfalls",1975-January to 2100-December,Spatial Resolution: 25kmx25km,"GCM: ACCESS1-0, CSIRO-Mk3-6-0, MIROC-ESM, BCC-CSM1-1, GFDL-CM3, MIROC-ESM-CHEM, BNU-ESM, GFDL-ESM2G, MIROC5, CanESM2, GFDL-ESM2M, MPI-ESM-LR, CCSM4, INMCM4, MPI-ESM-MR, CESM1-BGC, IPSL-CM5A-LR, MRI-CGCM3, CNRM-CM5, IPSL-CM5A-MR, NorESM1-M models. RCP 4.5 and RCP 8.5 scenarios"
